"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.024031,0.010058,"TS V1",1,"MCAR","min",50,2,200
0.028205,0.01312,"TS V2",1,"MCAR","min",50,2,200
0.018112,0.015497,"FIML",0.9,"MCAR","min",50,2,200
0.025736,0.03224,"FIML-C V0",0.9,"MCAR","min",50,2,200
0.023544,0.017707,"FIML-C V1",0.9,"MCAR","min",50,2,200
0.022002,0.038884,"FIML-C V2",0.9,"MCAR","min",50,2,200
0.021903,0.020918,"FIML-C V3",0.9,"MCAR","min",50,2,200
0.022394,0.049016,"FIML-C V4",0.9,"MCAR","min",50,2,200
0.036042,0.244994,"FIML-C V5",0.9,"MCAR","min",50,2,200
0.02202,0.020443,"FIML-C V6",0.9,"MCAR","min",50,2,200
0.025125,0.031304,"TS V0",0.9,"MCAR","min",50,2,200
0.023596,0.017648,"TS V1",0.9,"MCAR","min",50,2,200
0.021884,0.020422,"TS V2",0.9,"MCAR","min",50,2,200
0.01503,0.023465,"FIML",0.8,"MCAR","min",50,2,200
0.019316,0.037108,"FIML-C V0",0.8,"MCAR","min",50,2,200
0.017505,0.027149,"FIML-C V1",0.8,"MCAR","min",50,2,200
0.016105,0.055554,"FIML-C V2",0.8,"MCAR","min",50,2,200
0.016382,0.02849,"FIML-C V3",0.8,"MCAR","min",50,2,200
0.016589,0.077722,"FIML-C V4",0.8,"MCAR","min",50,2,200
0.035357,0.303378,"FIML-C V5",0.8,"MCAR","min",50,2,200
0.016509,0.028353,"FIML-C V6",0.8,"MCAR","min",50,2,200
0.01856,0.035495,"TS V0",0.8,"MCAR","min",50,2,200
0.017535,0.02693,"TS V1",0.8,"MCAR","min",50,2,200
0.016176,0.027656,"TS V2",0.8,"MCAR","min",50,2,200
0.015864,0.033604,"FIML",0.7,"MCAR","min",50,2,200
0.017968,0.045269,"FIML-C V0",0.7,"MCAR","min",50,2,200
0.016332,0.038316,"FIML-C V1",0.7,"MCAR","min",50,2,200
0.015004,0.067972,"FIML-C V2",0.7,"MCAR","min",50,2,200
0.015734,0.038704,"FIML-C V3",0.7,"MCAR","min",50,2,200
0.01766,0.069029,"FIML-C V4",0.7,"MCAR","min",50,2,200
0.051448,0.318092,"FIML-C V5",0.7,"MCAR","min",50,2,200
